id,comment,comment_ko
1,Unique and unusual,독특하고 특이한
2,Long-lasting,오래 지속되는
3,Alluring and sensual,매혹적이고 관능적인
4,Head-turner,시선을 사로잡는
5,Great for personal use and signature scent,개인 용도 및 시그니처 향수로 사용하기에 좋습니다.
6,Enduring and penetrating,지속적이고 예리한
7,Scent cloud creator,향기 구름 생성기
8,Refreshing sophistication,상쾌한 세련미
9,Unique and unusual,독특하고 특이한
10,Long-lasting,오래 지속되는
11,Alluring and sensual,매혹적이고 관능적인
12,Head-turner,시선을 사로잡는
13,Great for personal use and signature scent,개인 용도 및 시그니처 향수로 사용하기에 좋습니다.
14,Enduring and penetrating,지속적이고 예리한
15,Scent cloud creator,향기 구름 생성기
16,Refreshing sophistication,상쾌한 세련미
17,Distinctive and unique scent,독특하고 특별한 향
18,Long-lasting fragrance,오래 지속되는 향기
19,Good for winter season,겨울철에 좋습니다
20,A signature scent for some people,어떤 사람들에게는 시그니처 향
21,Great for evening wear,저녁 모임에 입기 좋습니다.
22,Feminine and edgy,여성스러우면서도 개성 넘치는
23,Unisex fragrance,남녀 공용 향수
24,Good for office and casual wear,사무실 및 캐주얼 복장에 적합합니다.
25,"Alluring, feminine, pretty and sweet","매혹적이고, 여성스럽고, 예쁘고, 사랑스럽다"
26,"Warm, elegant, and womanly","따뜻하고, 우아하고, 여성스러운"
27,Respectful usage offers long-lasting scent,올바르게 사용하면 향기가 오래 지속됩니다.
28,Tends to receive compliments,칭찬을 잘 받는 편이다
29,Great sales success and marks generations,엄청난 판매 성공과 세대를 잇는 업적
30,Delicious and captivating fruity opening,맛있고 매혹적인 과일 향으로 시작됩니다
31,Soft patchouli note in drydown,잔향에 은은한 파출리 향이 남습니다.
32,Best worn during autumn season,가을에 착용하기에 가장 좋습니다.
33,Mysterious and alluring,신비롭고 매혹적인
34,Unisex scent,남녀 공용 향
35,Masterpiece,걸작
36,Sensual fragrance,관능적인 향기
37,Good fit for individual personalities,개개인의 성격에 잘 어울립니다
38,Perfect representation of dark magic,어둠의 마법을 완벽하게 표현한 작품
39,Attractive on women in formal wear,정장을 입은 여성에게 매력적으로 보입니다.
40,Smooth and never harsh,부드럽고 절대 거칠지 않습니다.
41,Perfect for cold and bad weather,춥고 궂은 날씨에 딱 좋습니다.
42,Deep scent with no sharp edges or high notes,날카롭거나 고음역이 없는 깊이 있는 향
43,Captivating and magical fragrance,매혹적이고 마법 같은 향기
44,Sensual and desirable fragrance for confident women,자신감 넘치는 여성을 위한 관능적이고 매혹적인 향수
45,Mysterious and well-created perfume,신비롭고 정교하게 만들어진 향수
46,Gorgeous and well-crafted perfume,아름답고 정교하게 만들어진 향수
47,Great for reacquainting with past perfumes,예전에 맡았던 향수들을 다시 떠올리기에 아주 좋습니다.
48,May smell like play doh or flat soda to some people,어떤 사람들에게는 플레이도우나 김빠진 탄산음료 냄새가 날 수도 있습니다.
49,"Beautiful, elegant scent",아름답고 우아한 향기
50,Sophisticated and feminine,세련되고 여성스러운
51,Suitable for any season,모든 계절에 적합합니다
52,Smooth and white floral with pear notes,부드럽고 은은한 꽃향에 배 향이 더해진 향입니다.
53,Great for special occasions,특별한 날에 딱 좋아요
54,Positive associations and memories for some,일부에게는 긍정적인 연상과 기억
55,Well-balanced in former formulation,이전 제형에서 균형이 잘 잡혀 있었습니다.
56,Admired by some men,일부 남성들에게 존경받는
57,Good projection,좋은 투영
58,Pleasant smell,기분 좋은 냄새
